category	nano_us	postgres_us	pg_over_nano_ratio	winner
CREATE TABLE	149.500000	16505.000000	110.401338	Nano
CREATE INDEX	278.000000	17490.000000	62.913669	Nano
ALTER TABLE	634.000000	14070.000000	22.192429	Nano
DROP TABLE	57.400000	8230.000000	143.379791	Nano
CREATE/DROP VIEW	211.500000	18315.000000	86.595745	Nano
REFRESH MATVIEW	292.500000	8960.000000	30.632479	Nano
TRUNCATE	104.500000	55585.000000	531.913876	Nano
INSERT single	6.940000	6155.000000	886.887608	Nano
INSERT multi-row	157.500000	7655.000000	48.603175	Nano
INSERT..SELECT	379.000000	6680.000000	17.625330	Nano
UPDATE point	20.950000	8640.000000	412.410501	Nano
DELETE point	3.805000	7540.000000	1981.603154	Nano
UPSERT	93.000000	10830.000000	116.451613	Nano
UPDATE+subquery	196.000000	7930.000000	40.459184	Nano
Point lookup	3.920000	289.000000	73.724490	Nano
Full scan+filter	31.950000	360.000000	11.267606	Nano
Aggregation	0.790000	352.000000	445.569620	Nano
INNER JOIN	277.500000	323.500000	1.165766	Nano
LEFT JOIN	258.000000	341.000000	1.321705	Nano
4-table JOIN	603.500000	605.500000	1.003314	~tie
Scalar subquery	2.250000	417.500000	185.555556	Nano
EXISTS subquery	0.310000	531.500000	1714.516129	Nano
IN subquery	5.750000	460.000000	80.000000	Nano
CTE	25.550000	619.500000	24.246575	Nano
Recursive CTE	2.705000	405.000000	149.722736	Nano
Window funcs	22.500000	560.000000	24.888889	Nano
UNION	9.385000	406.000000	43.260522	Nano
DISTINCT	0.580000	312.000000	537.931034	Nano
ORDER+LIMIT	389.500000	388.000000	0.996149	~tie
CASE expr	17.900000	368.000000	20.558659	Nano
LIKE/BETWEEN/IN	12.100000	371.000000	30.661157	Nano
String ops	14.000000	351.500000	25.107143	Nano
Transaction ctl	0.405000	7385.000000	18234.567901	Nano
Prepared stmts	661.500000	672.000000	1.015873	~tie
SET/SHOW/RESET	7.270000	575.500000	79.160935	Nano
